name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
Crusaders of the Lost Idols,56,Codename Entertainment Inc.,Codename Entertainment Inc.,504128,350789,11553,5.55,-1,0,-1
,,,,,,,,,,
The Journey Down: Chapter Three,86,SkyGoblin,SkyGoblin,4989,2888,785,14.62,43,31,5.33
,,,,,,,,,,
Housekeeping VR,16,Peach Pie Productions,Glass Hand Studios,1303,1043,0,1.5,283,68,0
,,,,,,,,,,
Labyrinthian,,Benjamin Scott,Lack of Luck Productions,795,0,0,0,80,26,0
,,,,,,,,,,
Pro Gamer Manager,9,Raptor Claw Games,501 Industries,38597,35709,784,1.04,410,72.67,613.41
,,,,,,,,,,
GearCity,47,Visual Entertainment And Technologies,KISS ltd,23894,23106,785,4.23,44,49.92,34.44
,,,,,,,,,,
Murder Mystery Adventure,,EnsenaSoft,EnsenaSoft,64854,41223,0,0.37,108,123,1121.33
,,,,,,,,,,
Robbie Swifthand and the Orb of Mysteries,82,Pixel Reign,Pixel Reign,3910,0,0,13,65,0,-1
,,,,,,,,,,
Close Me,86,Yai Gameworks,Yai Gameworks,2363,1961,0,15,43,47.67,306.7
,,,,,,,,,,
Beach Resort Simulator,3,Earthworm Games,Ravenscourt,13916,10240,789,0.52,123,88.45,128.15
,,,,,,,,,,
ESCHATOS,89,Qute,Degica,5996,4692,0,18.25,42,75,4.45
,,,,,,,,,,
Induction,100,Bryan Gale,Bryan Gale,2363,1973,0,45,45,60.67,1337.04
,,,,,,,,,,
Men of War: Condemned Heroes,22,1C-SoftClub,1C Company,146775,51988,1184,1.93,108,65.07,58.99
,,,,,,,,,,
ROOT,65,Skunkape Interactive,Digital Tribe,5474,3389,778,6.7,12,66.92,279.53
,,,,,,,,,,
THE WALL ,71,ZuoBuLaiGame,ZuoBuLaiGame ,6778,5474,0,8.76,42,66,1925.33
,,,,,,,,,,
Dreaming Sarah,78,"Andre Chagas Silva, Anthony Septim",Asteristic Game Studio,271756,174607,14704,10.23,18,54.71,275.35
,,,,,,,,,,
Ahros: One Warrior Chronicle,28,4 I Lab,4 I Lab,3125,2343,0,2.43,108,60.4,2.59
,,,,,,,,,,
Planetary Annihilation,15,Uber Entertainment,Uber Entertainment,1213845,956792,6827,1.45,226,43.5,46.88
,,,,,,,,,,
Rolling Shapes,9,"Vertex Games, S.C.","Vertex Games, S.C.",6039,3938,0,1,130,48.47,12.42
,,,,,,,,,,
Hospitalize,33,Illeris,Illeris,4726,4201,795,2.75,79,142.67,16775.15
,,,,,,,,,,
Calibre 10 Racing,7,Bongfish GmbH,Bongfish GmbH,13295,4432,0,0.89,232,566.5,9870.12
,,,,,,,,,,
Tic-Toc-Tower,28,Sneaky Mammoth,SOEDESCO Publishing,16944,10688,1176,2.37,232,49.29,0.99
,,,,,,,,,,
SPORE Creepy & Cute Parts Pack,49,Maxis‰ã¢,Electronic Arts,861743,406978,13391,4.53,12,73.83,1963.82
,,,,,,,,,,
Signs Of Darkness,,Press Pause Games,Press Pause Games,1176,784,784,0,-1,0,-1
,,,,,,,,,,
Flight of the Paladin,11,Grizzly Wolf Games LLC,Grizzly Wolf Games LLC,97235,72991,0,1.17,93,46,100
,,,,,,,,,,
American VR Coasters,,Funny Twins,Funny Twins,785,785,0,0,110,50,0
,,,,,,,,,,
ShipLord,13,Just1337 Studio,Just1337 Publisher,324550,205940,1564,1.32,110,53.38,80.67
,,,,,,,,,,
Slipstream 5000,31,"Gremlin Interactive, The Software Refinery","KISS ltd, Funbox Media Ltd",273196,172572,1564,2.67,18,52.12,0.61
,,,,,,,,,,
Canvas Quest,,Chao's Playmate,Chao's Playmate,1184,0,0,0,25,37.33,9.48
,,,,,,,,,,
Ashes of the Singularity: Escalation,39,"Stardock Entertainment, Oxide Games",Stardock Entertainment,376258,137322,4989,3.27,17,57.11,425.58
,,,,,,,,,,
Absolute Drift,67,"Funselektor Labs Inc., FlippFly",Funselektor Labs Inc.,150675,120696,2868,7.5,43,62.36,9.68
,,,,,,,,,,
Rex Nebular and the Cosmic Gender Bender,14,"MicroProse Software, Inc.","Retroism, Nightdive Studios",24681,1575,0,1.4,99,50.18,3.83
,,,,,,,,,,
World Basketball Manager 2,31,Icehole Games,Strategy First,1050,1176,784,2.67,95,44.67,124.59
,,,,,,,,,,
Die With Glory  Point and Click Adventure Game,44,Castle,Veslo Games,5214,3910,0,3.8,232,0,-1
,,,,,,,,,,
Goo Saga,78,Toka Loka Games,Toka Loka Games,7560,3650,0,11,76,141,867
,,,,,,,,,,
PataNoir,65,Simon Christiansen,SiChris Productions,788,789,0,7,108,128.25,1032.02
,,,,,,,,,,
Kingdom of Loot,27,EPICBEYOND Studios,EPICBEYOND Studios,14179,13128,1184,2.29,79,74.33,0.04
,,,,,,,,,,
Metal Waltz: Anime tank girls,40,"Shanghai JingCai Computer Software Development Co., Ltd","Shanghai JingCai Computer Software Development Co., Ltd",63804,46737,2888,3.37,-1,0,-1
,,,,,,,,,,
Crazy Machines: Golden Gears,4,FAKT Software Gmbh,Viva Media Inc,23631,5514,0,0.64,186,68.39,47.98
,,,,,,,,,,
Omnipresent,9,A.J Starkey Enterprises,A.J Starkey Enterprises,2101,1575,0,1,108,84.33,65.79
,,,,,,,,,,
Earth Liberation,37,PoRovoz Studios,PoRovoz Studios,1838,1050,0,3,420,0,-1
,,,,,,,,,,
EGO PROTOCOL,23,Static Dreams,IQ Publishing,1313,0,0,2,116,66.62,2605.52
,,,,,,,,,,
Fateholders of Tetsoidea RPG,,Brewsterland Studios,Brewsterland Studios,1184,0,0,0,18,30.75,4.52
,,,,,,,,,,
FarSky,30,Farsky Interactive,Farsky Interactive,160691,114742,2363,2.55,31,84.44,54.16
,,,,,,,,,,
Fairy of the treasures,10,JustE A,JustE Publishing,795,0,0,1.1,-1,0,-1
,,,,,,,,,,
Transmissions: Element 120,89,"Shokunin, Thomas M. Visser, Vincent Thiele",Self Published,846177,542221,10167,15.86,-1,0,-1
,,,,,,,,,,
AdVenture Communist,27,Hyper Hippo Games,Hyper Hippo Games,601803,542462,17592,2.25,-1,0,-1
,,,,,,,,,,
Devil May Cry 4,82,Capcom,Capcom,285187,198380,2085,11.65,1142,65.57,3.98
,,,,,,,,,,
Destination Sol,44,MovingBlocks,MovingBlocks,442640,276324,1561,3.9,-1,0,-1
,,,,,,,,,,
Meadowland,11,MÌ´rten Jonsson,AGM PLAYISM,9190,5251,784,1.21,95,52.76,0.86
,,,,,,,,,,
Gravi,4,Hashbang Games,,39385,21005,795,0.68,1141,96.5,1387.56
,,,,,,,,,,
LEGO Worlds,42,"TT Games, Traveller's Tales",Warner Bros. Interactive Entertainment,620707,595501,27307,3.57,542,111.67,81.81
,,,,,,,,,,
Simutrans,35,The Simutrans Team,Open Source Publishing,101876,57502,1575,2.87,-1,0,-1
,,,,,,,,,,
Benji Challenges,2,Tribeflame,Benji Bananas,785,0,0,0.5,687,0,-1
,,,,,,,,,,
Jumpdrive,9,Meteoric Games,Meteoric Games,4953,4171,0,1.03,1368,0,-1
,,,,,,,,,,
Adventure Time: Magic Man's Head Games,39,Turbo Button,Cartoon Network,5735,4432,0,3.28,-1,0,-1
,,,,,,,,,,
Iconoclasts,78,Joakim Sandberg,"Bifrost Entertainment, DANGEN Entertainment",16423,11731,11731,10.45,-1,0,-1
,,,,,,,,,,
Mad Quad,,Retardia Games,Dagestan Technology,789,784,784,0,-1,0,-1
,,,,,,,,,,
Path of Exile,82,Grinding Gear Games,Grinding Gear Games,9062747,6292145,364180,12.86,-1,0,-1
,,,,,,,,,,
DESYNC,51,The Foregone Syndicate,Adult Swim Games,10167,8603,778,4.87,44,49.17,179.67
,,,,,,,,,,
One Bullet left,,OxPrimeStudio,OxPrimeStudio,784,784,0,0,118,0,-1
,,,,,,,,,,
Energy Hook,40,Happion Labs,Happion Labs,1303,1172,0,3.45,226,172.5,1173.06
,,,,,,,,,,
Autumn Night 3D Shooter,15,Sergey Bobrov,Sergey Bobrov,3128,781,0,1.45,108,61,128
,,,,,,,,,,
Train Journey,,Artlight Studio,Artlight Studio,1050,0,0,0,110,0,-1
,,,,,,,,,,
Shadowrun Chronicles - Boston Lockdown,23,Cliffhanger Productions,"Cliffhanger Productions, THQ Nordic",188260,85334,1176,1.97,226,78.53,0.14
,,,,,,,,,,
Orborun,47,Tiny Lab Productions,Digerati Distribution,181696,34410,0,4.25,837,83.6,163.59
,,,,,,,,,,
Munch VR,39,Mostly Harmless Games,Mostly Harmless Games,2626,785,0,3.33,79,69.5,126.56
,,,,,,,,,,
Sol 0: Mars Colonization,31,Chondrite Games,Chondrite Games,29407,25206,1050,2.6,755,0,-1
,,,,,,,,,,
FreezeME,23,Rainy Night Creations,Rainy Night Creations,2607,1825,0,1.96,108,112.33,1814.24
,,,,,,,,,,
Aiball: Drunks,17,HFM Games,HFM Games,4171,2868,784,1.57,110,101,2.25
,,,,,,,,,,
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,82,Gaijin Games,Gaijin Games,505986,313602,2868,12.3,42,70.12,16.78
,,,,,,,,,,
The Journey Down: Chapter One,67,SkyGoblin,SkyGoblin,268606,111328,790,7.42,44,66.78,35.08
,,,,,,,,,,
Far Cry 3,71,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,3222302,2865688,99060,8.37,17,34.85,106.56
,,,,,,,,,,
Runaway: A Twist of Fate,59,Pendulo Studios,Focus Home Interactive,128395,23368,0,5.97,42,81.45,148.17
,,,,,,,,,,
Call to Power II,7,Activision,Activision,2363,789,0,0.86,226,71,0
,,,,,,,,,,
Linked,82,ThinkOfGames,ThinkOfGames,116842,112116,784,11.67,17,83.5,430.56
,,,,,,,,,,
Hope Lake,37,"Far Mills, Mysterytag",RunServer,13391,9190,0,3,28,47.5,72.52
,,,,,,,,,,
A Sky Full of Stars,78,MoeNovel,MoeNovel,2363,1050,1176,11.14,43,0,-1
,,,,,,,,,,
Osmos,71,Hemisphere Games,Hemisphere Games,568194,336610,1568,8.32,42,101.96,296.12
,,,,,,,,,,
Comit the Astrodian 3,,LunarCore Games,LunarCore Games,795,0,0,0,-1,0,-1
,,,,,,,,,,
Maraiyum: Rise of the Setting Sun,47,Humdrum Software LLC,Humdrum Software LLC,789,0,0,4,108,101.33,2115.59
,,,,,,,,,,
The Minotaur,31,Ratalaika Games S.L.,Ratalaika Games S.L.,5996,4953,0,2.67,735,21,0
,,,,,,,,,,
Battle Runner,,Muzaku,Muzaku,2888,0,0,0,-1,0,-1
,,,,,,,,,,
The Dream Machine: Chapter 1 & 2,82,Cockroach Inc.,The Sleeping Machine,154914,78507,788,12.83,12,61.29,0.01
,,,,,,,,,,
Moribund,100,Traptics,Traptics,6517,3389,784,16,45,56.8,373.25
,,,,,,,,,,
No Way Out,13,Rafael Farias,Fiassink Games,15380,11470,784,1.3,108,39.29,94.46
,,,,,,,,,,
Mountain Troll,100,IndieLip,IndieLip,2888,0,0,11,18,0,-1
,,,,,,,,,,
Season Match 3 - Curse of the Witch Crow,44,URSE Games,Buka Entertainment,10765,8665,0,3.88,79,58.79,46.71
,,,,,,,,,,
Tunnel Rats,3,Replay Studios,Boll AG,1825,1564,0,0.58,1785,96.4,991.23
,,,,,,,,,,
Masquerade: The Baubles of Doom,74,Big Ant Studios,Big Ant Studios,795,0,0,9,-1,0,-1
,,,,,,,,,,
Crea,49,Siege Games,Siege Games,57611,54483,1568,4.36,79,317,44100
,,,,,,,,,,
ArcheBlade,33,CodeBrush Games,Codebrush Games,2242395,1029437,9124,2.79,-1,0,-1
,,,,,,,,,,
The Chosen Warriors,,GoeX GameS,GoeX GameS,19291,19291,784,0,-1,0,-1
,,,,,,,,,,
Birdtual Reality,9,Artificient Games Inc.,Artificient Games Inc.,795,795,0,1,-1,0,-1
,,,,,,,,,,
Tower Unite,59,PixelTail Games,PixelTail Games,159115,151501,15229,6.13,43,90.75,2036.27
,,,,,,,,,,
Turba,3,Binary Takeover,Binary Takeover,60653,28357,0,0.53,108,143.61,178.05
,,,,,,,,,,
Thief Gold,82,Looking Glass Studios,Square Enix,797951,263811,3650,11.97,42,42.38,1.55
,,,,,,,,,,
Star Rangers XE,9,"Project Whitecard Studios Inc., NASA (Some Models)",Awestruck Games,3910,3128,0,1.05,136,87.6,8.71
,,,,,,,,,,
Lifeless Planet Premier Edition,40,Stage 2 Studios,Serenity Forge,116265,73773,782,3.47,79,46.3,0
,,,,,,,,,,
Lucius,49,Shiver Games,Shiver Games,738775,500251,8342,4.33,12,47.46,1.78
,,,,,,,,,,
VTOL VR,95,"Boundless Dynamics, LLC","Boundless Dynamics, LLC",8081,7560,1172,26.73,43,28,0.5
,,,,,,,,,,
One Piece Burning Blood,39,"Spike Chunsoft Co., Ltd.",BANDAI NAMCO Entertainment,210110,93846,6517,3.27,44,56.38,5.08
,,,,,,,,,,
Hate Free Heroes RPG,,Starlight Studios,U Game Me,41486,40960,24944,0,43,50,17.29
,,,,,,,,,,
Double Action: Boogaloo,82,Double Action Factory,Double Action Factory,2165493,1288817,14338,11.79,-1,0,-1
,,,,,,,,,,
Dustforce DX,65,Hitbox Team,,523191,323247,2085,7.29,227,124.38,25.95
,,,,,,,,,,
Avencast: Rise of the Mage,23,ClockStone Studios,Meridian4,275021,63607,2354,1.95,32,67.17,62.06
,,,,,,,,,,
Seeking Evil: The Wendigo,17,Copybugpaste,Copybugpaste,2346,1825,0,1.6,108,46.25,47.27
,,,,,,,,,,
Disco Destruction,56,Subjective,Subjective,6302,2626,1184,5.33,-1,0,-1
,,,,,,,,,,
Dead Ground,,ShotX Studio,ShotX Studio,795,795,795,0,12,0,-1
,,,,,,,,,,
Jumps,92,"Kiwiforge, Timothy Vincent",Kiwiforge,2353,1961,1570,21,106,121,0
,,,,,,,,,,
Behold the Kickmen,78,Size Five Games,Size Five Games,8081,6256,0,10.92,42,31,0
,,,,,,,,,,
Rally Copters,100,Depth First Games,Depth First Games,1589,1589,0,4,226,184,0
,,,,,,,,,,
Wave of Darkness,12,Dreamatrix,Dreamatrix ,15380,10427,0,1.27,232,73.3,368.45
,,,,,,,,,,
SEGA Bass Fishing,53,SEGA,SEGA,273857,50938,1184,5.1,42,90.85,1.8
,,,,,,,,,,
Cyborg Rage,16,Ragiva Games,,10427,781,0,1.5,231,164.67,231.15
,,,,,,,,,,
Sweet Lily Dreams,7,RosePortal Games,Degica,174607,45161,0,0.92,97,90.57,228.59
,,,,,,,,,,
Predestination,28,Brain and Nerd Ltd,Brain and Nerd Ltd,3676,1838,795,2.36,232,136,2401
,,,,,,,,,,
Red is Dead - The Complex Fun Random Level Fast Strategy Game,56,Theodore Palser,Theodore Palser,789,784,0,5.5,-1,0,-1
,,,,,,,,,,
Cat Sorter VR,100,Pawmigo Games,Pawmigo Games,1184,1184,0,11,12,51,16.33
,,,,,,,,,,
Sky To Fly: Faster Than Wind,30,AIVIK LLC,Absolutist Ltd.,14859,10949,0,2.45,108,70.78,24.26
,,,,,,,,,,
The Troma Project,7,Nekrosoft,TopWare Interactive,244449,17067,784,0.92,59,77.3,582.17
,,,,,,,,,,
KARAKARA,82,calme,Sekai Project,128920,52513,2369,11.68,43,53.11,31.69
,,,,,,,,,,
XNemesis,65,XProd Games,XProd Games,2607,1825,0,7,18,45.21,91.47
,,,,,,,,,,
Drayt Empire,9,RPG Video,Back To Basics Gaming,342649,274907,3151,1.05,109,58.5,34.03
,,,,,,,,,,
Volt,27,Quantized Bit,Quantized Bit,72731,47444,778,2.3,110,64.5,0.31
,,,,,,,,,,
qop 2,97,Quiet River,Quiet River,7614,1575,0,45,43,22,0
,,,,,,,,,,
Nature's Zombie Apocalypse,86,Aniode,Aniode,1172,1172,778,15,227,175.75,3122.02
,,,,,,,,,,
Dead End Road,78,DDD Wares,DDD Wares,5996,4432,0,10.55,42,70,308.17
,,,,,,,,,,
Airships: Conquer the Skies,95,David Stark,David Stark,43586,42011,1313,30.83,-1,0,-1
,,,,,,,,,,
Sorry. (Entschuldigung) ~ A Psychological Horror Visual Novel,27,NeoNight,NeoNight,6827,3151,0,2.29,43,92,2352.25
,,,,,,,,,,
Trail of Destruction,,KlingelhÌ¦fer & SchlÌ_ter GbR,KlingelhÌ¦fer & SchlÌ_ter GbR,3650,784,0,0,44,67,0
,,,,,,,,,,
Blue Tear,17,MysteryTag,RunServer,4989,3151,0,1.58,108,60.6,267.91
,,,,,,,,,,
Car Mechanic Simulator 2014,51,"PlayWay S.A., Red Dot Games",PlayWay S.A.,542200,379409,7614,4.66,13,42.91,2.34
,,,,,,,,,,
SYMMETRY,,Sleepless Clinic,IMGN.PRO,795,0,0,0,-1,0,-1
,,,,,,,,,,
Pixel Heroes: Byte & Magic,44,The Bitfather,Headup Games,105027,61441,1313,3.89,79,46.5,98.28
,,,,,,,,,,
Flamebreak,89,Nimbly Games,Nimbly Games,17987,15380,782,18.53,44,56.79,20.13
,,,,,,,,,,
Trainz Settle and Carlisle,3,N3V Games,N3V Games,28357,3676,0,0.53,231,127.5,631.27
,,,,,,,,,,
The Last Look,22,ChaosCore UG,ChaosCore UG,1578,1578,0,1.86,107,309,0
,,,,,,,,,,
Total War: SHOGUN 2,82,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",3075179,2715988,93211,11.63,2156,33.11,0.4
,,,,,,,,,,
The Memory of Eldurim,11,Liminal Games,Liminal Games,11991,5214,0,1.13,582,188,0
,,,,,,,,,,
King of the Couch: Zoovival,56,Loophole Interactive,Loophole Interactive,5996,1961,0,5.57,50,32,0
,,,,,,,,,,
Fruit Arranger,13,Mihai Morosanu,Mihai Morosanu,80608,75094,0,1.38,108,69.25,13.14
,,,,,,,,,,
Imperium Romanum Gold Edition,51,Haemimont Games,Kalypso Media Digital,155439,55927,1176,4.62,79,78.94,161.72
,,,,,,,,,,
Cube Land Arena,4,Camaquem,Camaquem,37547,30458,1313,0.65,130,68.88,121.1
,,,,,,,,,,
Mortifero Motus,22,"Motus, EHTechnology","Motus, EHTechnology",369431,221606,2363,1.91,134,122.5,1275.12
,,,,,,,,,,
sZone-Online,4,Cybertime System,Cybertime System,2047494,1225135,10240,0.68,-1,0,-1
,,,,,,,,,,
Frozen Drift Race (Restocked),,dev4play,dev4play,784,784,0,0,-1,0,-1
,,,,,,,,,,
Gnomes Garden New home,,"Toyman, Creobit",8Floor,1313,0,0,0,-1,0,-1
,,,,,,,,,,
Let the Cat in,44,Eforb,Eforb,229746,134959,795,3.78,-1,0,-1
,,,,,,,,,,
The Jackbox Party Pack 4,51,"Jackbox Games, Inc.","Jackbox Games, Inc.",84809,69843,13128,4.73,18,32.5,6.12
,,,,,,,,,,
Ski Park Tycoon,16,Jan Zizka,Jan Zizka,4726,3151,0,1.53,410,360,0
,,,,,,,,,,
Autumn,14,Nuno Donato,Nuno Donato,56977,46474,0,1.42,110,58,2.78
,,,,,,,,,,
ShapeRockets,82,Echohead Games,Echohead Games,785,785,0,12,232,185,0
,,,,,,,,,,
The Beggar's Ride,62,Bad Seed,Bad Seed,12078,6827,785,6.18,45,54.18,347.41
,,,,,,,,,,
Mirt. Tales of the Cold Land. Chapter one,53,Emanon Studios,RuVN,25469,14966,785,4.96,-1,0,-1
,,,,,,,,,,
Tacopocalypse,89,Cherry Pie Games,Cherry Pie Games,4171,3128,785,16,237,251,11250
,,,,,,,,,,
Ground Control Anthology,74,Massive Entertainment,Rebellion,20218,7614,784,9,42,100.22,175.81
,,,,,,,,,,
Age of Fear: The Undead King,86,Leslaw Sliwko,Age of Fear,25994,11290,795,13.67,42,41.32,68.01
,,,,,,,,,,
Max: The Curse of Brotherhood,89,Press Play,Microsoft Game Studios,60390,32821,795,18.47,44,98.38,61.98
,,,,,,,,,,
Don't Drop the Bass,100,RadishBox,RadishBox,2369,1974,0,6,49,61,1281.33
,,,,,,,,,,
Tevris,,Vice Age,Vice Age,1564,0,0,0,-1,0,-1
,,,,,,,,,,
Northgard,74,Shiro Games,Shiro Games,525133,499664,81396,9.57,38,60.2,285.77
,,,,,,,,,,
"Codename: Panzers, Phase One",53,"Stormregion, THQ Nordic",THQ Nordic,23368,17067,1569,5,42,74.56,632.43
,,,,,,,,,,
Live In Color,30,Atakote Studios,Atakote Studios,789,784,0,2.5,-1,0,-1
,,,,,,,,,,
Riptale,95,Super God,Super God,1825,1303,0,25.67,50,61,2.25
,,,,,,,,,,
Yesterday,53,Pendulo Studios,Focus Home Interactive,158328,41223,784,4.89,44,82.67,2.89
,,,,,,,,,,
F.E.A.R.,,"Monolith Productions, Inc., Timegate",Warner Bros. Interactive Entertainment,1290381,131384,782,0,-1,0,-1
,,,,,,,,,,
Magical Eyes - Red is for Anguish,95,Pomera Studios,Fruitbat Factory,3151,3158,0,26,12,44.6,36.5
,,,,,,,,,,
Tank Blast,28,PowPow,Siberian Digital,106359,81333,1568,2.44,25,36.43,50.43
,,,,,,,,,,
DUAL GEAR,,"Orbital Speed Studio Co.,Ltd.","Orbital Speed Studio Co.,Ltd.",1043,782,0,0,-1,0,-1
,,,,,,,,,,
Dead Hungry Diner,37,Black Market Games,Black Market Games,32821,23106,0,3.07,226,155.58,809.89
,,,,,,,,,,
Formless Adventure,,Joyous Raccoon,New Reality Games,80870,1570,0,0,110,58,0
,,,,,,,,,,
Data Hacker: Reboot,16,New Reality Games,New Reality Games,323745,241299,6827,1.55,93,70.36,4.99
,,,,,,,,,,
Stability,9,Brzezinski,SIFAKA DIGITAL,3151,795,0,1,110,0,-1
,,,,,,,,,,
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,65,Telltale Games,Telltale Games,223969,69580,0,7,-1,0,-1
,,,,,,,,,,
Death's Gambit,,White Rabbit,Adult Swim Games,795,0,0,0,-1,0,-1
,,,,,,,,,,
Last Dream: World Unknown,56,White Giant RPG Studios,White Giant RPG Studios,9715,2363,784,5.5,43,35,24
,,,,,,,,,,
Infernales,,VGstudio,VGstudio,14077,1043,784,0,39,54,128
,,,,,,,,,,
Solace Crafting,51,Big Kitty Games,Big Kitty Games,1575,1589,1589,4.75,-1,0,-1
,,,,,,,,,,
Magnetic: Cage Closed,28,Guru Games,Good Shepherd Entertainment,28154,11731,0,2.34,79,48.58,20.18
,,,,,,,,,,
Beastiarium,13,Fazan,Fazan,95931,86807,0,1.32,108,48.5,30.38
,,,,,,,,,,
Obulis,51,IonFX,Meridian4,220818,62753,0,4.63,42,65.38,385.5
,,,,,,,,,,
Hypership Out of Control,71,Fun Infused Games,Fun Infused Games,19030,13816,0,8.5,49,74.45,27.7
,,,,,,,,,,
Shadows Peak,28,Andrii Vintsevych,Andrii Vintsevych,6778,5474,0,2.45,137,50.45,121.42
,,,,,,,,,,
Haywire on Fuel Station Zeta,22,Mad Goblin Games,Mad Goblin Games,33083,27044,0,1.88,777,32.67,327.26
,,,,,,,,,,
Machine Gun Train Run,16,Party Robot Studio,Party Robot Studio,10688,6256,0,1.55,226,162,6816.33
,,,,,,,,,,
Glitchbuster,,RÌ©mi Vansteelandt,RÌ©mi Vansteelandt,1172,0,0,0,80,0,-1
,,,,,,,,,,
Once in Yaissor,62,Valera Entertainment,Valera Entertainment,81658,79558,784,6.41,42,81.6,778.75
,,,,,,,,,,
Zwei: The Ilvard Insurrection,97,Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",2346,1303,785,43.67,43,51,0
,,,,,,,,,,
Spacecats with Lasers : The Outerspace,,"Bitten Toast Games Inc., Guilherme Cunha, Thiago Adamo, Daniel Snd",Bitten Toast Games Inc.,1578,795,0,0,79,61.33,472.93
,,,,,,,,,,
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,16,Telltale Games,Telltale Games,223969,49363,785,1.5,-1,0,-1
,,,,,,,,,,
NS2: Combat,11,Faultline Games,Unknown Worlds Entertainment,21376,11470,0,1.16,735,58.25,114.38
,,,,,,,,,,
FIELD BREAKING,,Evoluta Studio,Evoluta Studio,14704,1961,1570,0,14,57.5,39.06
,,,,,,,,,,
